# Products deactivated pending vest/jacket canvas artwork
#
# These were added from the S&S feed on 2026-08-29 and are correct in every
# respect EXCEPT the base artwork the designer draws under a customer's
# design: there is no vest or jacket art in core/raws/products/, so they
# borrowed the sweatshirt silhouette. The catalogue photo is the real
# garment; only the editor canvas is wrong.
#
# To bring one back: add its artwork as core/raws/products/<name>_front.png
# (and _back), point its stages at it, then set active=1.
#
id	name	price	supplier_style_id
124	Champion CO200 Packable Anorak Jacket	39.78	7378
126	CORE365 78190 Women's Journey Fleece Jacket	37.6	13274
133	CORE365 CE702 Men's Prevail Packable Puffer Vest	57.68	13362
134	CORE365 CE702W Women's Prevail Packable Puffer Vest	57.68	13330
135	CORE365 CE703 Men's Techno Lite Unlined Vest	29.86	13204
139	CORE365 88183 Men's Techno Lite Jacket	29.86	13212
140	CORE365 CE700 Men's Prevail Packable Puffer Jacket	67.98	13372
141	Harriton M750 Men's Packable Hooded Nylon Jacket	31.92	14181
145	Adidas A572 Men's Puffer Full-Zip Vest	90.64	11019
146	Independent Trading EXP120PFV Men's Puffer Vest	55.9	7791
147	CORE365 88191 Men's Journey Fleece Vest	35.02	13209
152	Independent Trading EXP35SSZ Poly-Tech Soft Shell	82.86	4841
153	Harriton M740 Fleece Lined Nylon Jacket	58.7	14352
