shortcut,message
hours,"Curbside pickup is Mon–Fri, 10:30 AM–6 PM in Chicago. Need a different time? Text us at (773) 849-1854 and we'll work something out!"
quote,"Easiest way: tell me right here what you need (item, quantity, and your design idea) and I'll get you a price. You can also design it yourself instantly at design.jtees.net!"
minimums,No minimums! Order a single shirt or hundreds — DTF printing lets us do one-offs at a great price. Bulk orders get volume discounts.
turnaround,"Most orders turn around in about 7 days, and many are faster. Have a deadline? Tell me the date and I'll confirm we can hit it."
design,"Yes — free design help is included! You can also build it yourself in our online Design Studio (design.jtees.net) with uploads, fonts, graphics, and an AI designer."
files,"Best: vector files (AI, EPS, SVG) or high-res PNG (300 DPI at print size). For embroidery: DST, PES, EXP, JEF, VP3, XXX, or EMB — or send regular art and we'll digitize it."
embroidery,"Embroidery pricing by size: Small left-chest from $12/ea, Medium center-chest from $20/ea, Large from $32/ea, Full Back from $65/ea — prices drop with quantity. No stitch file? One-time digitizing is $25–$65 by size, and reorders never pay it again."
screenprint,"Screen printing is our best value for 12+ pieces — bold, durable, up to 6 colors. Price depends on colors + quantity; tell me both and I'll quote it now."
dtf,"DTF (direct-to-film) prints full-color, photo-quality designs that work on nearly any fabric — perfect for detailed art and small orders, with no minimums."
bulk,"Yes — per-piece prices drop as quantity goes up (big breaks at 12, 24, 48, and 100+). Tell me your quantity and I'll price it."
memorial,"We do, and we treat them with care. Send the photo and dates, and we'll design a beautiful tribute — shirts, hoodies, buttons, and more. One piece or the whole family's."
birthday,"Absolutely — name, age, theme, photos, matching crew shirts from toddler to 5XL. Tell me the party date and we'll work backwards from it!"
business,"We outfit businesses with embroidered polos, branded tees, hats, and jackets. Send your logo once — we keep it on file for every reorder. Volume pricing applies."
order,"Two ways: 1) Design it yourself at design.jtees.net and check out online, or 2) tell me what you need right here and we'll handle everything for you."
status,Happy to check! What's the name and phone/email on the order?
location,"We're in Chicago — curbside pickup at 3047 N Lincoln Ave #435, Mon–Fri 10:30 AM–6 PM. Call/text (773) 849-1854 when you're outside!"
shipping,"Yes, we ship nationwide. Local Chicago customers can also do curbside pickup. Shipping cost depends on the order — I'll include it in your quote."
giftcard,Yes! Give the gift of custom made — gift cards are available in any amount. Want me to set one up for you?
payment,Online orders check out on the site; for custom quotes we'll send you a secure invoice. Questions about a payment? Ask right here.
care,"Machine wash cold, inside-out, tumble dry low. Skip bleach and high heat and your print will last for years."
